"","site_id","year","month","day","variable","value"
"11829","i36",1915,9,1,"cru_324_frs",22.23
"11896","i36",1915,10,1,"cru_324_frs",31
"11963","i36",1915,11,1,"cru_324_frs",30
"12030","i36",1915,12,1,"cru_324_frs",31
"12097","i36",1916,1,1,"cru_324_frs",31
"12164","i36",1916,2,1,"cru_324_frs",29
"12231","i36",1916,3,1,"cru_324_frs",31
"12298","i36",1916,4,1,"cru_324_frs",30
"12365","i36",1916,5,1,"cru_324_frs",28.48
"12432","i36",1916,6,1,"cru_324_frs",11.18
"12499","i36",1916,7,1,"cru_324_frs",5.03
"12566","i36",1916,8,1,"cru_324_frs",10.78
"12633","i36",1916,9,1,"cru_324_frs",22.34
"12700","i36",1916,10,1,"cru_324_frs",30.76
"12767","i36",1916,11,1,"cru_324_frs",30
"12834","i36",1916,12,1,"cru_324_frs",31
"12901","i36",1917,1,1,"cru_324_frs",31
"12968","i36",1917,2,1,"cru_324_frs",28
"13035","i36",1917,3,1,"cru_324_frs",31
"13102","i36",1917,4,1,"cru_324_frs",30
"13169","i36",1917,5,1,"cru_324_frs",29.43
"13236","i36",1917,6,1,"cru_324_frs",14.76
"13303","i36",1917,7,1,"cru_324_frs",6.49
"13370","i36",1917,8,1,"cru_324_frs",9.77
"13437","i36",1917,9,1,"cru_324_frs",22.23
"13504","i36",1917,10,1,"cru_324_frs",30.99
"13571","i36",1917,11,1,"cru_324_frs",30
"13638","i36",1917,12,1,"cru_324_frs",31
"13705","i36",1918,1,1,"cru_324_frs",31
"13772","i36",1918,2,1,"cru_324_frs",28
"13839","i36",1918,3,1,"cru_324_frs",31
"13906","i36",1918,4,1,"cru_324_frs",30
"13973","i36",1918,5,1,"cru_324_frs",29.24
"14040","i36",1918,6,1,"cru_324_frs",15.02
"14107","i36",1918,7,1,"cru_324_frs",5.64
"14174","i36",1918,8,1,"cru_324_frs",11.29
"14241","i36",1918,9,1,"cru_324_frs",22.34
"14308","i36",1918,10,1,"cru_324_frs",31
"14375","i36",1918,11,1,"cru_324_frs",30
"14442","i36",1918,12,1,"cru_324_frs",31
"14509","i36",1919,1,1,"cru_324_frs",31
"14576","i36",1919,2,1,"cru_324_frs",28
"14643","i36",1919,3,1,"cru_324_frs",31
"14710","i36",1919,4,1,"cru_324_frs",30
"14777","i36",1919,5,1,"cru_324_frs",29.24
"14844","i36",1919,6,1,"cru_324_frs",15.28
"14911","i36",1919,7,1,"cru_324_frs",5.43
"14978","i36",1919,8,1,"cru_324_frs",9.52
"15045","i36",1919,9,1,"cru_324_frs",22.69
"15112","i36",1919,10,1,"cru_324_frs",31
"15179","i36",1919,11,1,"cru_324_frs",30
"15246","i36",1919,12,1,"cru_324_frs",31
"15313","i36",1920,1,1,"cru_324_frs",31
"15380","i36",1920,2,1,"cru_324_frs",29
"15447","i36",1920,3,1,"cru_324_frs",31
"15514","i36",1920,4,1,"cru_324_frs",30
"15581","i36",1920,5,1,"cru_324_frs",29.93
"15648","i36",1920,6,1,"cru_324_frs",11.94
"15715","i36",1920,7,1,"cru_324_frs",6.06
"15782","i36",1920,8,1,"cru_324_frs",10.53
"15849","i36",1920,9,1,"cru_324_frs",23.37
"15916","i36",1920,10,1,"cru_324_frs",31
"15983","i36",1920,11,1,"cru_324_frs",30
"16050","i36",1920,12,1,"cru_324_frs",31
"16117","i36",1921,1,1,"cru_324_frs",31
"16184","i36",1921,2,1,"cru_324_frs",28
"16251","i36",1921,3,1,"cru_324_frs",31
"16318","i36",1921,4,1,"cru_324_frs",30
"16385","i36",1921,5,1,"cru_324_frs",29.37
"16452","i36",1921,6,1,"cru_324_frs",9.46
"16519","i36",1921,7,1,"cru_324_frs",6.49
"16586","i36",1921,8,1,"cru_324_frs",10.78
"16653","i36",1921,9,1,"cru_324_frs",24.75
"16720","i36",1921,10,1,"cru_324_frs",30.98
"16787","i36",1921,11,1,"cru_324_frs",30
"16854","i36",1921,12,1,"cru_324_frs",31
"16921","i36",1922,1,1,"cru_324_frs",31
"16988","i36",1922,2,1,"cru_324_frs",28
"17055","i36",1922,3,1,"cru_324_frs",31
"17122","i36",1922,4,1,"cru_324_frs",30
"17189","i36",1922,5,1,"cru_324_frs",29.83
"17256","i36",1922,6,1,"cru_324_frs",16.06
"17323","i36",1922,7,1,"cru_324_frs",6.71
"17390","i36",1922,8,1,"cru_324_frs",14.72
"17457","i36",1922,9,1,"cru_324_frs",25.53
"17524","i36",1922,10,1,"cru_324_frs",30.76
"17591","i36",1922,11,1,"cru_324_frs",30
"17658","i36",1922,12,1,"cru_324_frs",31
"17725","i36",1923,1,1,"cru_324_frs",31
"17792","i36",1923,2,1,"cru_324_frs",28
"17859","i36",1923,3,1,"cru_324_frs",31
"17926","i36",1923,4,1,"cru_324_frs",30
"17993","i36",1923,5,1,"cru_324_frs",29.43
"18060","i36",1923,6,1,"cru_324_frs",10.19
"18127","i36",1923,7,1,"cru_324_frs",5.43
"18194","i36",1923,8,1,"cru_324_frs",7.15
"18261","i36",1923,9,1,"cru_324_frs",22.92
"18328","i36",1923,10,1,"cru_324_frs",30.52
"18395","i36",1923,11,1,"cru_324_frs",30
"18462","i36",1923,12,1,"cru_324_frs",31
"18529","i36",1924,1,1,"cru_324_frs",31
"18596","i36",1924,2,1,"cru_324_frs",29
"18663","i36",1924,3,1,"cru_324_frs",31
"18730","i36",1924,4,1,"cru_324_frs",30
"18797","i36",1924,5,1,"cru_324_frs",28.84
"18864","i36",1924,6,1,"cru_324_frs",14.25
"18931","i36",1924,7,1,"cru_324_frs",8.79
"18998","i36",1924,8,1,"cru_324_frs",12.6
"19065","i36",1924,9,1,"cru_324_frs",24.23
"19132","i36",1924,10,1,"cru_324_frs",31
"19199","i36",1924,11,1,"cru_324_frs",30
"19266","i36",1924,12,1,"cru_324_frs",31
"19333","i36",1925,1,1,"cru_324_frs",31
"19400","i36",1925,2,1,"cru_324_frs",28
"19467","i36",1925,3,1,"cru_324_frs",31
"19534","i36",1925,4,1,"cru_324_frs",30
"19601","i36",1925,5,1,"cru_324_frs",28.84
"19668","i36",1925,6,1,"cru_324_frs",12.96
"19735","i36",1925,7,1,"cru_324_frs",9.28
"19802","i36",1925,8,1,"cru_324_frs",12.33
"19869","i36",1925,9,1,"cru_324_frs",22.92
"19936","i36",1925,10,1,"cru_324_frs",30.62
"20003","i36",1925,11,1,"cru_324_frs",30
"20070","i36",1925,12,1,"cru_324_frs",31
"20137","i36",1926,1,1,"cru_324_frs",31
"20204","i36",1926,2,1,"cru_324_frs",28
"20271","i36",1926,3,1,"cru_324_frs",31
"20338","i36",1926,4,1,"cru_324_frs",30
"20405","i36",1926,5,1,"cru_324_frs",28.98
"20472","i36",1926,6,1,"cru_324_frs",14.76
"20539","i36",1926,7,1,"cru_324_frs",7.84
"20606","i36",1926,8,1,"cru_324_frs",12.07
"20673","i36",1926,9,1,"cru_324_frs",23.48
"20740","i36",1926,10,1,"cru_324_frs",30.95
"20807","i36",1926,11,1,"cru_324_frs",30
"20874","i36",1926,12,1,"cru_324_frs",31
"20941","i36",1927,1,1,"cru_324_frs",31
"21008","i36",1927,2,1,"cru_324_frs",28
"21075","i36",1927,3,1,"cru_324_frs",31
"21142","i36",1927,4,1,"cru_324_frs",30
"21209","i36",1927,5,1,"cru_324_frs",29.05
"21276","i36",1927,6,1,"cru_324_frs",11.94
"21343","i36",1927,7,1,"cru_324_frs",5.43
"21410","i36",1927,8,1,"cru_324_frs",9.28
"21477","i36",1927,9,1,"cru_324_frs",23.7
"21544","i36",1927,10,1,"cru_324_frs",31
"21611","i36",1927,11,1,"cru_324_frs",30
"21678","i36",1927,12,1,"cru_324_frs",31
"21745","i36",1928,1,1,"cru_324_frs",31
"21812","i36",1928,2,1,"cru_324_frs",29
"21879","i36",1928,3,1,"cru_324_frs",31
"21946","i36",1928,4,1,"cru_324_frs",30
"22013","i36",1928,5,1,"cru_324_frs",28.98
"22080","i36",1928,6,1,"cru_324_frs",11.94
"22147","i36",1928,7,1,"cru_324_frs",6.71
"22214","i36",1928,8,1,"cru_324_frs",11.04
"22281","i36",1928,9,1,"cru_324_frs",23.26
"22348","i36",1928,10,1,"cru_324_frs",31
"22415","i36",1928,11,1,"cru_324_frs",30
"22482","i36",1928,12,1,"cru_324_frs",31
"22549","i36",1929,1,1,"cru_324_frs",31
"22616","i36",1929,2,1,"cru_324_frs",28
"22683","i36",1929,3,1,"cru_324_frs",31
"22750","i36",1929,4,1,"cru_324_frs",30
