"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect"
"128","I(year - 1998):nameXXXfungus ",-0.0279611361228434,-0.300426181025614,0.240539004626044,7818.24714154198,0.84275,"fixed"
"129","I(year - 1998):nameXXXkobresia:QHI ",-0.013076731641569,-0.27136385950871,0.27590516746568,8000.00000000002,0.9205,"fixed"
"130","I(year - 1998):nameXXXlitter ",3.28032967854912,3.01022811335861,3.54952303737809,8000.00000000003,0.000125,"fixed"
"131","I(year - 1998):nameXXXliverwort:QHI ",-0.0142065357917182,-0.277083176530141,0.250330643393681,8000.00000000002,0.92225,"fixed"
"132","I(year - 1998):nameXXXLUZSP:QHI ",-0.116498573866069,-0.387874750522315,0.148841377304052,8000.00000000002,0.407,"fixed"
"133","I(year - 1998):nameXXXotheraster:QHI ",-0.0264438239147929,-0.30259468710301,0.232869506675343,8356.37195567779,0.853,"fixed"
"134","I(year - 1998):nameXXXotherfungus ",-0.024401625075291,-0.287337321657105,0.256103158430051,8000.00000000001,0.853,"fixed"
"135","I(year - 1998):nameXXXothergram ",-0.0456588143988185,-0.307667656714329,0.238341307114752,8000.00000000002,0.749,"fixed"
"136","I(year - 1998):nameXXXotherherb:QHI ",-0.0303308160158038,-0.308118832763284,0.225972767413623,8000,0.81875,"fixed"
"137","I(year - 1998):nameXXXotherlichen:QHI ",-0.334774961412665,-0.600223317815107,-0.0549032643612009,7999.99999999999,0.0155,"fixed"
"138","I(year - 1998):nameXXXothermoss ",0.848803907277142,0.580452345806407,1.11408456211939,7999.99999999999,0.000125,"fixed"
"139","I(year - 1998):nameXXXpeltigera:QHI ",0.16111617477813,-0.10520438203821,0.423631583282258,7480.08772842226,0.24225,"fixed"
"140","I(year - 1998):nameXXXrock ",-0.016247950342549,-0.298777992476971,0.245922414949746,8000.00000000002,0.9085,"fixed"
"141","I(year - 1998):nameXxxspider",-0.0209958378077925,-0.29233230947284,0.25078687977657,8000.00000000002,0.87325,"fixed"
"142","I(year - 1998):nameXXXspider",-0.0259637783890079,-0.297324111670605,0.243266935212887,7999.99999999998,0.84475,"fixed"
"143","I(year - 1998):nameXXXstandingwater ",-0.00311516410836031,-0.269508415833116,0.276662380623748,8000.00000000002,0.98975,"fixed"
"144","I(year - 1998):nameXXXunkwoody ",-0.0251884532358939,-0.285619430273073,0.254609120911482,8000,0.848,"fixed"
"145","year",0.364550216493184,0.060134265872683,0.861492481689031,8000,NA,"random"
"146","plot",0.332465509591151,0.0578782839997717,0.796760748642746,8000.00000000001,NA,"random"
"147","units",16.4950260935647,15.6478194035965,17.2517186097223,7999.99999999999,NA,"residual"
